interest,weather_code,budget,recommended_site,interest_cat,recommended_site_cat
cultural,61,20444,Kund Malir Beach – Balochistan,1,28
adventure,96,22999,Malam Jabba – Swat,0,33
nature,95,10100,Thandiani – Abbottabad,3,59
adventure,45,8644,Hiran Minar – Sheikhupura,0,20
historical,53,29400,Sheesh Mahal – Lahore,2,53
historical,55,29856,Fairy Meadows – Gilgit-Baltistan,2,13
historical,77,20414,Rakaposhi Base Camp – Nagar,2,46
adventure,73,28656,Haleji Lake – Thatta,0,17
adventure,65,9883,Hanna Lake – Quetta,0,18
adventure,56,11826,Passu Cones – Hunza,0,42
cultural,48,24812,Margalla Hills – Islamabad,1,34
adventure,1,4558,Bagh Valley – AJK,0,4
nature,55,22781,Chitral – KPK,3,7
historical,51,9958,Hingol National Park – Lasbela,2,19
nature,55,24972,Kund Malir Beach – Balochistan,3,28
cultural,65,18793,Deosai Plains – Skardu,1,11
nature,65,8287,Pir Ghaib Waterfall – Bolan,3,43
nature,53,25914,Ratti Gali Lake – Neelum Valley,3,48
adventure,95,26036,Thandiani – Abbottabad,0,59
adventure,85,11364,Siri Paye Meadows – Shogran,0,54
cultural,86,23576,Naran Kaghan – KPK,1,38
historical,73,17100,Attabad Lake – Hunza,2,1
historical,56,19719,Kund Malir Beach – Balochistan,2,28
historical,45,11474,Ratti Gali Lake – Neelum Valley,2,48
adventure,86,22342,Hanna Lake – Quetta,0,18
nature,48,18767,Mohenjo Daro – Larkana,3,36
adventure,85,9065,Rawal Lake – Islamabad,0,49
nature,66,4005,Soon Valley – Khushab,3,56
historical,85,15298,Passu Cones – Hunza,2,42
adventure,2,18566,Pir Ghaib Waterfall – Bolan,0,43
adventure,0,10029,Soon Valley – Khushab,0,56
historical,81,12800,Katas Raj Temples – Chakwal,2,24
cultural,77,14774,Data Darbar – Lahore,1,10
historical,53,19264,Bagh Valley – AJK,2,4
adventure,73,7982,Kalash Valley – Chitral,0,23
adventure,2,9957,Shalimar Gardens – Lahore,0,52
historical,61,24353,Lok Virsa Museum – Islamabad,2,31
historical,48,15809,Quaid-e-Azam Mausoleum – Karachi,2,45
nature,48,22235,Faisal Mosque – Islamabad,3,14
nature,81,27155,Arang Kel – Neelum Valley,3,0
cultural,81,4625,Katas Raj Temples – Chakwal,1,24
cultural,53,27544,Clifton Beach – Karachi,1,8
historical,61,17663,Ranikot Fort – Jamshoro,2,47
cultural,51,12802,Hingol National Park – Lasbela,1,19
cultural,61,23915,Chaukhandi Tombs – Karachi,1,6
nature,61,7444,Kalash Valley – Chitral,3,23
nature,77,26800,Lal Suhanra Park – Bahawalpur,3,30
adventure,61,24926,Gorakh Hills – Dadu,0,15
adventure,66,26077,Naran Kaghan – KPK,0,38
adventure,96,12781,Gorakh Hills – Dadu,0,15
cultural,86,7485,Swat Valley – KPK,1,57
nature,0,9367,Kalash Valley – Chitral,3,23
nature,1,22939,Greater Iqbal Park – Lahore,3,16
adventure,75,23110,Shalimar Gardens – Lahore,0,52
cultural,1,22326,Ranikot Fort – Jamshoro,1,47
historical,67,13085,Faisal Mosque – Islamabad,2,14
adventure,96,7380,Shalimar Gardens – Lahore,0,52
cultural,61,13159,Lahore Fort – Lahore,1,29
cultural,67,20774,Princess of Hope – Makran Coast,1,44
cultural,1,21769,Hingol National Park – Lasbela,1,19
nature,80,19105,Badshahi Mosque – Lahore,3,3
adventure,80,5632,Rakaposhi Base Camp – Nagar,0,46
historical,82,9478,Quaid-e-Azam Mausoleum – Karachi,2,45
historical,53,7476,Naltar Valley – Gilgit,2,37
nature,66,17247,Chaukhandi Tombs – Karachi,3,6
historical,53,22903,Banjosa Lake – Rawalakot,2,5
historical,95,19838,Soon Valley – Khushab,2,56
